timestamp_ms,current_x,current_y,target_x,target_y
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
171961,90.00,90.00,90.00,90.00
